publish_time,now_rank,fanghao,share,danmaku,aid,coin,his_rank,tminfo,title,url,favorite,reply,view
2016-09-01 20:35,1,nil,22779,21447,6117110,185693,96,舞蹈,【极乐净土】咬人猫/有咩酱/赤九玖?155小分队o(*≧▽≦)ツ,http://www.bilibili.com/video/av6117110,175358,15985,3602610
2016-09-05 17:25,0,6168110,2498,112101,6168110,15148,0,番剧,Re：从零开始的异世界生活 : 第23集 恶毒的怠惰,http://www.bilibili.com/video/av6168110,2032,38575,3607789
2016-09-12 14:45,0,6250940,1789,119679,6250940,14212,0,番剧,Re：从零开始的异世界生活 : 第24集 自称骑士与最优的骑士,http://www.bilibili.com/video/av6250940,1812,33956,3417271
未知,,nil,,,,,,未知,大鱼海棠 - 哔哩哔哩弹幕视频网,,,,
2016-09-19 01:05,0,6335861,6129,292301,6335861,36986,0,番剧,Re：从零开始的异世界生活 : 第25集 仅此而已的故事,http://www.bilibili.com/video/av6335861,4852,47858,3039174
2016-09-01 04:59,0,nil,22812,12331,6108496,74392,98,鬼畜,【全明星】一人我饮酒醉,http://www.bilibili.com/video/av6108496,105388,5800,2512101
2016-09-30 17:55,0,nil,27674,14414,6470859,52084,85,音乐,【山新】洗脑歌《PPAP》河南话版,http://www.bilibili.com/video/av6470859,74559,8406,2167569
2016-09-30 13:17,0,nil,36926,11928,6467776,6870,0,音乐,原版PPAP Pen Pineapple Apple Pen【有毒】,http://www.bilibili.com/video/av6467776,68468,2602,2154316
2016-09-22 19:13,1,nil,43996,57639,6375191,113773,1,生活,直播穿女装时又被老妈抓了……名侦探柯妈~B站就服自己,http://www.bilibili.com/video/av6375191,64708,21386,2109554
2016-09-03 22:00,0,6140738,551,70079,6140738,6547,0,番剧,食戟之灵 贰之皿 : 第10集 新的『璞玉』,http://www.bilibili.com/video/av6140738,904,9829,2135285
2016-09-09 00:39,0,nil,7193,102475,6206361,43229,0,娱乐,【暴走大事件第四季】60 铁柱三分钟流利英语教学，用电大户杨永信终将面临正义,http://www.bilibili.com/video/av6206361,9641,17591,1984786
2016-09-10 22:00,0,6226935,455,45265,6226935,5185,0,番剧,食戟之灵 贰之皿 : 第11集 实地研习,http://www.bilibili.com/video/av6226935,862,6579,2103507
2016-09-23 00:39,0,nil,2852,67506,6378682,32914,74,娱乐,【暴走大事件第四季】62 张全蛋遭遇质检危机，洗脑神曲三分钟解读iPhone 7,http://www.bilibili.com/video/av6378682,6852,6205,1877479
2016-09-17 22:00,0,6320264,500,42658,6320264,5075,0,番剧,食戟之灵 贰之皿 : 第12集 魔术师再临,http://www.bilibili.com/video/av6320264,948,6719,1919932
2016-09-24 22:00,0,6398082,1002,74708,6398082,9906,0,番剧,食戟之灵 贰之皿 : 第13集 威风堂堂,http://www.bilibili.com/video/av6398082,1167,9166,1945596
2016-09-30 02:26,0,nil,2338,61476,6464652,44341,66,娱乐,【暴走大事件第四季】63 爸爸去哪儿之《我和老哥杨永信的故事》,http://www.bilibili.com/video/av6464652,6074,10677,1831108
2016-09-15 20:54,0,nil,3712,81822,6292254,37092,0,娱乐,【暴走大事件第四季】61 反诈骗新章！铁柱已跌入爱情悬崖,http://www.bilibili.com/video/av6292254,5445,8569,1754543
2016-09-30 12:17,1,nil,27340,50039,6467193,29851,67,游戏,【阴阳师X极乐净土】抽式神不如跳舞,http://www.bilibili.com/video/av6467193,104294,9225,1736230
2016-09-24 21:08,1,nil,12658,15635,6401720,18009,1,生活,我妈终于接受了这个设定，看见我戴假发毫无波动~甚至还笑了起来,http://www.bilibili.com/video/av6401720,25144,7415,1704805
2016-09-09 12:48,0,nil,4799,28600,6209709,34659,69,游戏,【敖厂长】斯大林请冷静！,http://www.bilibili.com/video/av6209709,10687,5005,1647612
2016-09-08 17:05,0,nil,611,11795,6201477,37397,2,游戏,【敖厂长】国军抗日题材游戏,http://www.bilibili.com/video/av6201477,7197,6354,1609988
